F20 B781 B95 B485 B808 B936 B702 , 9, 29
F60 B371 B393 , 1792, 2084
F26 B466 B849 , 10, 11
F93 B547 B784 , 43, 1966
F42 B437 B547 B284 , 41, 1863
F74 B840 B68 , 7, 8
F48 B811 B762 B24 B1000 B341 B841 B268 , 10, 646
F26 B190 B636 B500 B828 , 540, 698
F82 B990 B142 , 12, 13
F77 B767 B267 , 27, 31
F74 B410 B88 , 6, 332
F82 B34 B176 , 12, 12
F48 B762 B24 B1000 B341 B841 , 10, 22
F58 B994 B664 B14 B42 B461 B601 B252 , 26, 1799
F58 B439 B43 B198 B542 B115 B630 B137 , 25, 33
F48 B2 B113 B53 B349 , 10, 624
F55 B934 B378 , 43, 86
F90 B346 B300 B659 B66 B293 , 13, 595
F2 B429 B397 B430 B814 , 26, 1771
F82 B529 B143 B902 B603 B409 , 12, 633
F64 B476 B259 B417 B937 , 11, 11
F26 B209 B610 B967 B331 B538 B466 , 10, 594
F74 B989 B315 B401 B887 , 7, 332
F77 B320 B426 B70 B19 B513 B662 , 1, 1730
F64 B211 B977 , 10, 614
F25 B895 B680 B654 , 18, 36
F74 B315 B401 B887 , 7, 331
F18 B856 B227 B926 B503 , 511, 682
F31 B10 B588 B344 , 15, 15
F31 B871 B438 , 15, 15
F2 B635 B594 , 1638, 1898
F14 B953 B714 B615 B725 , 16, 705
F2 B430 B814 B50 B320 B893 B107 , 26, 83
F74 B338 B638 B345 , 6, 13
F80 B507 B339 , 14, 627
F62 B107 B632 B11 B723 , 1, 12
F100 B452 B522 B768 , 39, 39
F5 B451 B149 B136 B270 B354 , 8, 20
F18 B817 B643 , 11, 11
F74 B88 B326 , 6, 18
F74 B315 B101 B586 B696 , 292, 401
F45 B803 B313 B243 B124 , 34, 36
F26 B211 B712 B345 B142 B264 , 10, 23
F48 B693 B883 B220 , 11, 34
F2 B429 B381 B635 B77 , 26, 1876
F45 B800 B512 B845 B91 , 1664, 2235
F5 B961 B879 B263 , 8, 514
F24 B380 B6 , 19, 19
F18 B172 B951 B797 , 11, 11
F5 B177 B996 B616 B164 B566 , 8, 10
F6 B436 B498 , 14, 15
F47 B329 B24 B514 , 1, 1688
F47 B625 B243 B122 B821 , 22, 28
F77 B520 B320 B850 , 1612, 1938
F20 B485 B808 , 9, 9
F26 B550 B325 , 10, 10
F74 B315 B101 , 292, 356
F58 B266 B394 B517 , 25, 28
F29 B111 B729 B848 B122 B963 B993 , 11, 599
F2 B814 B50 , 26, 53
F58 B617 B857 B470 B518 , 1, 23
F28 B742 B818 , 13, 14
F48 B631 B67 B136 B330 B845 , 1, 9
F62 B738 B335 B353 B208 B533 B607 , 1, 28
F80 B350 B447 B916 B895 B507 , 1, 1994
F77 B426 B70 B19 B513 B662 , 1, 11
F97 B639 B32 , 15, 15
F48 B17 B687 , 11, 11
F29 B869 B405 B322 B631 B652 , 11, 25
F2 B320 B893 , 26, 28
F29 B986 B852 , 540, 630
F6 B729 B245 B417 , 14, 550
F75 B209 B622 , 31, 31
F20 B267 B639 B993 , 9, 617
F58 B498 B269 , 1, 1
F48 B811 B663 B705 B579 B693 B883 , 11, 645
F45 B512 B845 B91 B722 , 1664, 2236
F31 B33 B781 B202 B48 B871 B438 B736 , 15, 1250
F31 B438 B736 , 15, 1235
F18 B432 B916 B504 , 11, 13
F80 B895 B507 , 1, 1814
F60 B842 B649 B357 , 1, 39
F31 B22 B10 , 15, 15
F96 B818 B482 , 41, 42
F2 B594 B358 B958 B440 B225 , 1, 434
F58 B498 B269 B617 , 1, 2
F18 B980 B202 , 11, 11
F62 B887 B747 B950 B367 B728 , 9, 610
F5 B961 B834 B589 B669 B388 B793 B89 , 8, 538
F18 B529 B432 , 11, 554
F16 B100 B10 B584 , 1, 41
F47 B57 B761 , 21, 21
F23 B924 B453 B571 B457 B472 , 1, 3
F39 B601 B583 B612 B862 , 28, 1176
F24 B170 B454 , 19, 19
F74 B940 B692 B736 B132 , 6, 21
F90 B300 B659 B66 B293 B151 , 13, 29
F42 B802 B242 , 41, 42
F62 B771 B497 B241 , 9, 37
F26 B209 B575 B51 , 540, 660
F26 B209 B431 B922 B721 B621 B951 , 10, 591
F90 B66 B293 B151 , 13, 28
